FeatureStateId;description;featureStateId
CXC4012533;LTE AI Powered MIMO Sleep Mode;CXC4012533
CXC4012157;High Power UE;CXC4012157
CXC4012355;;CXC4012355
CXC4012519;;CXC4012519
CXC4040006;;CXC4040006
CXC4012246;CRS Interference Reduction using MBSFN Subframes;CXC4012246
CXC4012271;4x4 Full Interference Rejection Combining;CXC4012271
CXC4012079;Idle Mode Extended DRX;CXC4012079
CXC4012101;Low Energy Scheduler Solution;CXC4012101
CXC4012478;NR DL Carrier Aggregation for Coverage Extension;CXC4012478
CXC4012336;Enhanced PTT Admission Control;CXC4012336
CXC4012264;IDC for Uplink Carrier Aggregation;CXC4012264
CXC4012199;ASGH Performance Package;CXC4012199
CXC4012374;Cell-Level Scheduler;CXC4012374
CXC4012393;Maximum Cell Range Beyond 100km;CXC4012393
CXC4012034;Elastic RAN;CXC4012034
CXC4012457;Prioritized Call Queuing at High Load;CXC4012457
CXC4012342;Radio Dot System NR;CXC4012342
CXC4012263;NB-IoT Non-Anchor Carrier Support;CXC4012263
CXC4012606;NR Reduced UE Bandwidth Support;CXC4012606
CXC4012354;;CXC4012354
CXC4012279;Progressive Barring For Special Access Classes;CXC4012279
CXC4012452;NB-IoT Admission Control;CXC4012452
CXC4012286;Interference Rejection Combining for AAS FDD;CXC4012286
CXC4012455;Category M Connection Suspend and Resume;CXC4012455
CXC4012681;NR Advanced UE Location Support;CXC4012681
CXC4012563;Optimized PDCCH;CXC4012563
CXC4012547;NR Service-Adaptive Prescheduling;CXC4012547
CXC4012502;Massive MIMO Low-Band;CXC4012502
CXC4011981;5CC DL Carrier Aggregation Extension;CXC4011981
CXC4012407;Coverage-Triggered Mobility at Setup;CXC4012407
CXC4012601;Aggregated Pm Events;CXC4012601
CXC4012591;User- and Service-Specific Mobility;CXC4012591
CXC4012370;Uplink Robust Header Compression for Data;CXC4012370
CXC4012392;;CXC4012392
CXC4011975;UE-Assisted Adaptive DRX;CXC4011975
CXC4012622;NR QoS Profile Modification;CXC4012622
CXC4012588;Connected Users Optimization for Carrier Aggregation;CXC4012588
CXC4040019;Multiple GNSS Support;CXC4040019
CXC4012621;NR Dynamic Slot Aggregation for VoNR;CXC4012621
CXC4012564;NR Minimization of Drive Tests;CXC4012564
CXC4012608;Category M Random Access Backoff;CXC4012608
CXC4012412;Reduced Connection Setup Time;CXC4012412
CXC4012390;High Capacity Multi-User MIMO;CXC4012390
CXC4012589;Coverage- and Capacity-Optimized PDCCH Beamforming;CXC4012589
CXC4012631;NR Directional Control for EMF Power Lock Mid-Band;CXC4012631
CXC4012585;TM8 Downlink Single-User MIMO on TDD SCell;CXC4012585
CXC4012369;Digital Sectorization with AAS FDD;CXC4012369
CXC4012050;Flexible QoS;CXC4012050
CXC4012663;User- and Service-Specific Carrier Aggregation;CXC4012663
CXC4012454;Instant Downlink 256-QAM Activation;CXC4012454
CXC4012363;LMT Port Disabling;CXC4012363
CXC4012489;Downlink Throughput Test in gNodeB;CXC4012489
CXC4012368;Optimized VoLTE Access at High Load;CXC4012368
CXC4012375;LTE-NR Uplink Aggregation;CXC4012375
CXC4012546;ASGH-Based Spectral Efficiency Package;CXC4012546
CXC4040009;Two-Way Active Measurement Protocol Responder;CXC4040009
CXC4012582;NR-NR Dual Connectivity;CXC4012582
CXC4012544;Category M Flexible Preamble Selection;CXC4012544
CXC4012111;Global SCell Evaluation for Carrier Aggregation;CXC4012111
CXC4012673;NR Closed-Loop Power Control Low/Mid-Band;CXC4012673
CXC4012258;Configurable Distribution Counters;CXC4012258
CXC4012507;LTE-NR FDD Spectrum Sharing with NR Standalone;CXC4012507
CXC4012503;NR UE Throughput Booster;CXC4012503
CXC4012486;Intelligent Power Emission Control;CXC4012486
CXC4012371;Capability-Aware Idle Mode Control;CXC4012371
CXC4012349;Accelerated Inter-Frequency Load Balancing;CXC4012349
CXC4012303;Category M Enhanced Paging Capacity;CXC4012303
CXC4012572;Category M Relaxed Monitoring for Cell Reselection;CXC4012572
CXC4040011;Synchronous Ethernet;CXC4040011
CXC4012593;Priority-Based Admission Control;CXC4012593
CXC4012559;NR Radio Resource Partitioning;CXC4012559
CXC4012397;Evolved Load-Based Distribution at Release;CXC4012397
CXC4012510;Advanced Downlink Single-User MIMO Mid-Band;CXC4012510
CXC4012324;NR Coverage-Triggered NR Session Continuity;CXC4012324
CXC4012671;NR Large Bandwidth Support Low-Band;CXC4012671
CXC4040010;Real Time Security Event Logging;CXC4040010
CXC4012378;NR Massive MIMO Sleep Mode;CXC4012378
CXC4012493;Uplink Single-User MIMO;CXC4012493
CXC4012661;Port Scanning Detection and Logging;CXC4012661
CXC4012540;LTE-NR FDD Spectrum Sharing with NB-IoT;CXC4012540
CXC4012110;Virtual Sectors;CXC4012110
CXC4040018;IEEE 1588 Boundary Clock;CXC4040018
CXC4012187;Category M Connected Mode Mobility;CXC4012187
CXC4040016;Two-Way Active Measurement Protocol Initiator;CXC4040016
CXC4012488;NB-IoT Access Barring;CXC4012488
CXC4012287;Mission-Critical Push-to-Talk;CXC4012287
CXC4012269;Spatial AAS Traffic Distribution Observability;CXC4012269
CXC4012607;NR Dynamic Power Optimizer;CXC4012607
CXC4012243;TM9 with AAS FDD;CXC4012243
CXC4012036;Dynamic Uplink Resource Allocation;CXC4012036
CXC4012302;Category M Enhanced Uplink Peak Rate;CXC4012302
CXC4012570;TDD PCell Support for DL Carrier Aggregation Low/Mid-Band;CXC4012570
CXC4012406;Downlink Multi-User MIMO Mid-Band;CXC4012406
CXC4012320;Category M HARQ-ACK Bundling;CXC4012320
CXC4012379;RAN Slicing Framework;CXC4012379
CXC4012213;Virtual Category M Access;CXC4012213
CXC4011983;Inter-eNodeB Carrier Aggregation;CXC4011983
CXC4012405;NB-IoT Extended Cell Range;CXC4012405
CXC4012599;EN-DC RAN Slicing;CXC4012599
CXC4012691;Optimized UE Distribution for EN-DC;CXC4012691
CXC4012490;Enhanced Dynamic UE Admission Control for Privileged Access;CXC4012490
CXC4012630;Enhanced UE Preemption for Privileged Access;CXC4012630
CXC4012477;NR DL Carrier Aggregation;CXC4012477
CXC4012383;Data-Aware Carrier Aggregation Configuration;CXC4012383
CXC4040014;Ethernet OAM Service;CXC4040014
CXC4012012;Autoconfiguration of LTE Broadcast Subframes;CXC4012012
CXC4012352;Uplink-Traffic-Triggered Mobility;CXC4012352
CXC4012491;Adaptive Power Adjustment for EIRP Limit;CXC4012491
CXC4012281;Advanced SR Allocation for Privileged Access Users;CXC4012281
CXC4012102;Inter eNodeB Uplink Coordinated Multi-Point Reception;CXC4012102
CXC4012385;Incoming NR IRAT Handover;CXC4012385
CXC4012678;Alternative E-RAB Establishment Success Rate;CXC4012678
CXC4012592;NR Robust Header Compression for Voice;CXC4012592
CXC4012257;Basic AAS for TDD;CXC4012257
CXC4011991;UE-Assisted Signaling Reduction;CXC4011991
CXC4012070;Service-Specific HARQ;CXC4012070
CXC4012266;NB-IoT Load Distribution;CXC4012266
CXC4012131;Packet Capture;CXC4012131
CXC4040004;IPSec;CXC4040004
CXC4012508;NB-IoT Downlink Interference Randomization;CXC4012508
CXC4012635;NR Remote Interference Management;CXC4012635
CXC4012323;Category M Dynamic HARQ-ACK Delay;CXC4012323
CXC4012537;LTE-NR FDD Spectrum Sharing with Category M;CXC4012537
CXC4012566;NB-IoT Optimized UE Power Control;CXC4012566
CXC4011980;4CC DL Carrier Aggregation Extension;CXC4011980
CXC4011982;Multi Clustered PUSCH;CXC4011982
CXC4012182;Virtual Packet Processing;CXC4012182
CXC4012500;SSB Power Boost;CXC4012500
CXC4012272;Massive MIMO Mid-Band;CXC4012272
CXC4012097;Configurable SCell Priority;CXC4012097
CXC4012580;Outgoing NR IRAT Handover;CXC4012580
CXC4012479;Shared NR RAN;CXC4012479
CXC4012014;Mobility To CSG Cell;CXC4012014
CXC4011974;Support for 19-24 cells in single eNodeB;CXC4011974
CXC4012015;Mixed Mode Baseband LTE;CXC4012015
CXC4011996;TM8 Mode Switching;CXC4011996
CXC4012296;Load-Based CA SCell Handling;CXC4012296
CXC4012289;Category M Enhanced Cell ID Location Support;CXC4012289
CXC4012366;NB-IoT Enhanced Cell ID Location Support;CXC4012366
CXC4012356;ASGH-Based A/B Testing Framework;CXC4012356
CXC4012384;NB-IoT with IRC;CXC4012384
CXC4012297;Machine Intelligence Enabled Mobility;CXC4012297
CXC4012253;NB-IoT 100km Coverage;CXC4012253
CXC4012340;Category M Extended Access Barring;CXC4012340
CXC4012019;Resource Partitioning;CXC4012019
CXC4012569;NG eCall Support for Emergency Calls;CXC4012569
CXC4012262;NB-IoT Extended Transport Block Size;CXC4012262
CXC4012002;Network-Assisted CRS Interference Cancellation;CXC4012002
CXC4012200;ASGH-Based Prescheduling;CXC4012200
CXC4012485;Optimized RRC Connection Release Control;CXC4012485
CXC4012505;AI Powered DL Link Adaptation;CXC4012505
CXC4012201;Internal 5;CXC4012201
CXC4012388;Radio Interface-Based Time Monitoring;CXC4012388
CXC4012319;Category M Link Adaptation with Aperiodic CQI;CXC4012319
CXC4012590;Advanced Downlink Multi-User MIMO Mid-Band;CXC4012590
CXC4012275;Baseband Resource Cell Prioritization;CXC4012275
CXC4012629;VoLTE Prescheduling;CXC4012629
CXC4012023;UpPTS Interference Reporting;CXC4012023
CXC4012522;AI Powered Advanced Cell Supervision;CXC4012522
CXC4012561;Prioritized Mobile Terminating Access at High Load;CXC4012561
CXC4012658;NrQosAwareDownlinkCa;CXC4012658
CXC4012261;Resource-Optimized Uplink Scheduling;CXC4012261
CXC4012637;NR Service-Adaptive Link Adaptation;CXC4012637
CXC4012188;Hidden Parameter Access;CXC4012188
CXC4012330;Uplink Multi-User MIMO Mid-Band;CXC4012330
CXC4012456;LTE Connection Suspend and Resume;CXC4012456
CXC4012274;ONAP Interface;CXC4012274
CXC4012198;TM9 8x4 Octal Antenna Downlink Performance Package;CXC4012198
CXC4012210;Skip uplink padding on dynamic grants;CXC4012210
CXC4012053;ARP-Aware Scheduling;CXC4012053
CXC4012313;ASGH-Supported InstantUplinkAccess;CXC4012313
CXC4012212;TM9 Mode Switching;CXC4012212
CXC4012496;Carrier Aggregation Downlink Traffic Steering;CXC4012496
CXC4012163;Category M Basic VoLTE;CXC4012163
CXC4012082;Category M Access;CXC4012082
CXC4012209;Instant uplink access with skip tx uplink padding;CXC4012209
CXC4012458;Category M Multiple Narrowband Support;CXC4012458
CXC4011984;Ericsson Lean Carrier;CXC4011984
CXC4012600;NR 3CC DL Carrier Aggregation;CXC4012600
CXC4012550;RRC Inactive State;CXC4012550
CXC4012254;Basic AAS for FDD;CXC4012254
CXC4012381;EN-DC-Triggered Handover during Setup;CXC4012381
CXC4012347;PRACH Enhancements Mid-Band;CXC4012347
CXC4012516;NB-IoT Two HARQ Processes;CXC4012516
CXC4012333;Volte Rate Recommendation;CXC4012333
CXC4012316;Evolved Uplink Frequency-Selective Scheduling;CXC4012316
CXC4012162;Restricted Drive Test;CXC4012162
CXC4012531;NR Relative Priority Scheduling;CXC4012531
CXC4012267;Category M Load Distribution;CXC4012267
CXC4012104;AssistedTimeHoldover;CXC4012104
CXC4012095;Multiple IP Addresses for S1 and X2;CXC4012095
CXC4012211;RDS Location Support;CXC4012211
CXC4012259;VoLTE Optimized Carrier Aggregation;CXC4012259
CXC4012417;Device-Based Frequency Filtering;CXC4012417
CXC4012558;Downlink Data and DMRS Multiplexing;CXC4012558
CXC4012587;Uplink Data and DMRS Multiplexing;CXC4012587
CXC4040007;PTP Slave for Frequency Synchronization;CXC4040007
CXC4012359;Category M Dynamic Resource Sharing with LTE;CXC4012359
CXC4012619;NR Slot-Specific Downlink Link Adaptation;CXC4012619
CXC4012308;Inter Vendor Load Balancing;CXC4012308
CXC4012346;7CC DL Carrier Aggregation Extension;CXC4012346
CXC4012422;Inter-Vendor Capability-Aware Idle Mode Control;CXC4012422
CXC4012534;NR Emergency Procedures;CXC4012534
CXC4012024;;CXC4012024
CXC4012389;Open Radio Controller;CXC4012389
CXC4040013;;CXC4040013
CXC4012610;NR UE-Assisted Precoding Optimization;CXC4012610
CXC4012218;Basic Intelligent Connectivity;CXC4012218
CXC4012361;Category M Attach Without PDN Connection;CXC4012361
CXC4012382;DSCP Mapping Based on ARP and QCI;CXC4012382
