####################################################################################################################################                                                                                                   
MO Class                                                Attribute                             References                                                                                                                               
Lrat.AdditionalCoreNetwork                              reservedBy[]                          Lrat.TermPointToENB[0-],Lrat.TermPointToGNB[0-],Lrat.TermPointToMme[0-]                                                                  
Lrat.AirIfLoadProfile                                   reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.Cdma2000Freq                                       reservedBy[]                          Lrat.Cdma20001xRttFreqRelation[0-],Lrat.Cdma2000FreqRelation[0-]                                                                         
Lrat.Cdma2000FreqBand                                   reservedBy[]                          Lrat.Cdma20001xRttBandRelation[0-],Lrat.Cdma2000FreqBandRelation[0-]                                                                     
Lrat.DiffAdmCtrlFilteringProfile                        reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.EUtraFreqRelProfileSet                             reservedBy[]                          Lrat.EUtranFreqRelation[0-]                                                                                                              
Lrat.EUtranCellFDD                                      reservedBy[]                          Lrat.EUtranCellRelationUnlicensed[0-],Lrat.EUtranCellRelation[0-],Lrat.MbsfnAreaCellRelation[0-],Lrat.NbIotCell[0-],Lrat.SharingGroup[0-]
Lrat.EUtranCellTDD                                      reservedBy[]                          Lrat.EUtranCellRelationUnlicensed[0-],Lrat.EUtranCellRelation[0-],Lrat.MbsfnAreaCellRelation[0-],Lrat.NbIotCell[0-],Lrat.SharingGroup[0-]
Lrat.EUtranFrequency                                    reservedBy[]                          Lrat.EUtranFreqRelation[0-],Lrat.ExternalEUtranCellFDD[0-],Lrat.ExternalEUtranCellTDD[0-],Lrat.GUtranFreqRelation[0-],Lrat.WakeUpFreqPrio
rity[0-]                                                                                                                                                                                                                               
Lrat.EabConfProfileBr                                   reservedBy[]                          Lrat.EUtranCellFDD[0-]                                                                                                                   
Lrat.EndcDistrProfile                                   reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.EndcProfile                                        reservedBy[]                          Lrat.QciProfileOperatorDefined[0-],Lrat.QciProfilePredefined[0-]                                                                         
Lrat.EndcProfilePredefined                              reservedBy[]                          Lrat.QciProfileOperatorDefined[0-],Lrat.QciProfilePredefined[0-]                                                                         
Lrat.EndcUserProfile                                    reservedBy[]                          Lrat.SubscriberGroupProfile[0-]                                                                                                          
Lrat.ExternalCdma20001xRttCell                          reservedBy[]                          Lrat.Cdma20001xRttCellRelation[0-],Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                         
Lrat.ExternalCdma2000Cell                               reservedBy[]                          Lrat.Cdma2000CellRelation[0-]                                                                                                            
Lrat.ExternalEUtranCellFDD                              reservedBy[]                          Lrat.EUtranCellRelation[0-]                                                                                                              
Lrat.ExternalEUtranCellTDD                              reservedBy[]                          Lrat.EUtranCellRelationUnlicensed[0-],Lrat.EUtranCellRelation[0-]                                                                        
Lrat.ExternalEUtranCellUnlicensed                       reservedBy[]                          Lrat.EUtranCellRelationUnlicensed[0-]                                                                                                    
Lrat.ExternalGUtranCell                                 reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-],Lrat.GUtranCellRelation[0-]                                                                
Lrat.ExternalGeranCell                                  reservedBy[]                          Lrat.GeranCellRelation[0-]                                                                                                               
Lrat.ExternalUtranCellFDD                               reservedBy[]                          Lrat.UtranCellRelation[0-]                                                                                                               
Lrat.ExternalUtranCellTDD                               reservedBy[]                          Lrat.UtranCellRelation[0-]                                                                                                               
Lrat.GUtraFreqRelProfileSet                             reservedBy[]                          Lrat.GUtranFreqRelation[0-]                                                                                                              
Lrat.GUtranCellRelation                                 reservedBy[]                          Lrat.SharingGroup[0-]                                                                                                                    
Lrat.GUtranSyncSignalFrequency                          reservedBy[]                          Lrat.EndcDistrProfile[0-],Lrat.ExternalGUtranCell[0-],Lrat.GUtranFreqRelation[0-]                                                        
Lrat.GeranFreqGroup                                     reservedBy[]                          Lrat.GeranFreqGroupRelation[0-],Lrat.GeranFrequency[0-]                                                                                  
Lrat.GeranFrequency                                     reservedBy[16]                        Lrat.ExternalGeranCell[0-16]                                                                                                             
Lrat.IdleModePrioAtRelease                              reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.IuaProfile                                         reservedBy[]                          Lrat.SubscriberGroupProfile[0-]                                                                                                          
Lrat.LogicalChannelGroup                                reservedBy[]                          Lrat.QciProfileOperatorDefined[0-],Lrat.QciProfilePredefined[0-],Lrat.SciProfile[0-]                                                     
Lrat.MeasCellGroup                                      reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.PlmnAbConfProfile                                  reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.PreschedProfile                                    reservedBy[]                          Lrat.SubscriberGroupProfile[0-]                                                                                                          
Lrat.PtmCellProfile                                     reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.PtmSubscriberGroup                                 reservedBy[]                          Lrat.PtmAtoConfig[0-],Lrat.PtmIfoConfig[0-],Lrat.PtmResOpUseConfig[0-],Lrat.PtmStmConfig[0-]                                             
Lrat.QciProfileOperatorDefined                          reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-],Lrat.FlexibleQoSGroup[0-]                                                                  
Lrat.QciProfilePredefined                               reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-],Lrat.FlexibleQoSGroup[0-]                                                                  
Lrat.QciTable                                           reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.ResourcePartition                                  reservedBy[]                          Lrat.ResourcePartitionGroupMember[0-]                                                                                                    
Lrat.ResourcePartitionGroup                             reservedBy[]                          Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-]                                                                                            
Lrat.RlfProfile                                         reservedBy[]                          Lrat.QciProfileOperatorDefined[0-],Lrat.QciProfilePredefined[0-]                                                                         
Lrat.SciProfile                                         reservedBy[]                          Lrat.FlexibleQoSGroupMember[0-]                                                                                                          
Lrat.SectorCarrier                                      reservedBy[]                          Lrat.CellPortion[0-],Lrat.EUtranCellFDD[0-],Lrat.EUtranCellTDD[0-],Lrat.NbIotCell[0-],Lrat.UlCompGroup[0-]                               
Lrat.SleepModeCovProfile                                reservedBy[]                          Lrat.CellSleepFunction[0-]                                                                                                               
Lrat.TimerProfile                                       reservedBy[]                          Lrat.QciProfileOperatorDefined[0-],Lrat.QciProfilePredefined[0-]                                                                         
Lrat.UeProfileFilter                                    reservedBy[]                          Lrat.EUtraFreqRelProfile[0-],Lrat.GUtraFreqRelProfile[0-]                                                                                
Lrat.UnlicensedBandProfile                              reservedBy[]                          Lrat.EUtranFreqRelationUnlicensed[0-]                                                                                                    
Lrat.UnsupportedFreqProfile                             reservedBy[]                          Lrat.ImeisvProfile[0-]                                                                                                                   
Lrat.UserProfile                                        reservedBy[]                          Lrat.FlexibleQoSGroupMember[0-]                                                                                                          
Lrat.UtranFrequency                                     reservedBy[]                          Lrat.UtranFreqRelation[0-],Lrat.UtranTDDFreqRelation[0-]                                                                                 
RcsCertM.EnrollmentAuthority                            reservedBy[]                          RcsCertM.NodeCredential[0-]                                                                                                              
RcsCertM.EnrollmentServerGroup                          reservedBy[]                          RcsCertM.NodeCredential[0-]                                                                                                              
RcsCertM.ExternalTrustedCertificate                     reservedBy[]                          RcsCertM.ExternalTrustCategory[0-]                                                                                                       
RcsCertM.NodeCredential                                 reservedByUser[]                      ECIM_SysM.CliTls[0-],ECIM_SysM.NetconfTls[0-],GNBCUCP.LocalA1Endpoint[0-],RcsFileTPM.FtpTlsServer[0-],RcsFileTPM.FtpTls[0-],RcsLogM.LogM[
0-]                                                                                                                                                                                                                                    
RcsCertM.TrustCategory                                  reservedByUser[]                      ECIM_SysM.CliTls[0-],ECIM_SysM.NetconfTls[0-],GNBCUCP.LocalA1Endpoint[0-],RcsFileTPM.FtpTlsServer[0-],RcsFileTPM.FtpTls[0-],RcsLogM.LogM[
0-]                                                                                                                                                                                                                                    
RcsCertM.TrustedCertificate                             reservedBy[]                          RcsCertM.EnrollmentAuthority[0-],RcsCertM.TrustCategory[0-]                                                                              
RcsFm.FmFilter                                          reservedBy[]                          RcsFm.FmAlarmType[0-]                                                                                                                    
RcsLocalAuthorization.CustomRule                        reservedByRoles[]                     RcsLocalAuthorization.CustomRole[0-]                                                                                                     
RcsSecM.Dtls                                            reservedBy[]                          RtnSctp.SctpEndpoint[0-]                                                                                                                 
ReqAntennaSystem.AntennaUnit                            reservedBy[]                          ReqAntennaSystem.AntennaNearUnit[0-]                                                                                                     
ReqAntennaSystem.AuPort                                 reservedBy[]                          ReqAntennaSystem.RfBranch[0-]                                                                                                            
ReqAntennaSystem.MulticastAntennaBranch                 reservedBy[]                          GNBDU.NRSectorCarrier[0-],Lrat.SectorCarrier[0-],RmeSectorEquipmentFunction.SectorEquipmentFunction[0-]                                  
ReqAntennaSystem.RetSubUnit                             reservedBy[]                          ReqAntennaSystem.AntennaSubunit[0-],ReqTransceiver.Transceiver[0-]                                                                       
ReqAntennaSystem.RfBranch                               reservedBy[]                          GNBDU.NRSectorCarrier[0-],Grat.Trx[0-],Lrat.PmUlInterferenceReport[0-],Lrat.SectorCarrier[0-],ReqCcBranch.CcBranch[0-],RmeSectorEquipment
Function.SectorEquipmentFunction[0-],Wrat.NodeBSectorCarrier[0-]                                                                                                                                                                       
ReqAntennaSystem.TmaSubUnit                             reservedBy[]                          ReqAntennaSystem.RfBranch[0-]                                                                                                            
ReqCabinet.Cabinet                                      reservedBy[]                          ReqCabinet.Cabinet[0-],ReqFieldReplaceableUnit.FieldReplaceableUnit[0-],ResBatteryBackup.BatteryBackup[0-],ResClimate.Climate[0-],ResPowe
rDistribution.PowerDistribution[0-],ResPowerSupply.PowerSupply[0-]                                                                                                                                                                     
ReqCcBranch.CcBranch                                    reservedBy[]                          Grat.Trx[0-],RmeSectorEquipmentFunction.SectorEquipmentFunction[0-],Wrat.NodeBSectorCarrier[0-]                                          
ReqCcLink.CcLink                                        reservedBy[]                          ReqCcBranch.CcBranch[0-]                                                                                                                 
ReqConsumedEnergyMeasurement.ConsumedEnergyMeasurement  reservedBy[]                          ReqEnergyMeter.EnergyMeter[0-]                                                                                                           
ReqDiPort.DiPort                                        reservedBy[]                          ReqDiLink.DiLink[0-1]                                                                                                                    
ReqEcBus.EcBus                                          reservedBy[]                          ReqEcPort.EcPort[0-],ReqExternalNode.ExternalNode[0-]                                                                                    
ReqEnclosure.Enclosure                                  reservedBy[]                          ReqFieldReplaceableUnit.FieldReplaceableUnit[0-]                                                                                         
ReqExternalNode.ExternalNode                            reservedBy[]                          ReqExternalNode.ExternalNode[0-]                                                                                                         
ReqFieldReplaceableUnit.FieldReplaceableUnit            reservedBy[]                          Lrat.CellPortionRd[0-],ReqAntennaSystem.AntennaNearUnit[0-],ReqEcBus.EcBus[0-],ReqExternalNode.ExternalNode[0-],ResEnergyMeasurement.Ener
gyMeasurement[0-32],RmeLlsMode.LlsMode[0-],RmeMpClusterHandling.MpClusterHandling[0-],RmePowerReservation.PowerReservation[0-],RmeRuFlexibleBw.RuFlexibleBw[0-],RtnExtendedTransport.ExtendedTransport[0-]                             
ReqHwGroup.HwGroup                                      reservedBy[]                          ReqAntennaSystem.AntennaUnitGroup[0-],ReqFieldReplaceableUnit.FieldReplaceableUnit[0-],ResBatteryBackup.BatteryBackup[0-],ResPowerDistrib
ution.PowerDistribution[0-],ResPowerSupply.PowerSupply[0-]                                                                                                                                                                             
ReqIplPort.IplPort                                      reservedBy[]                          ReqIplPort.IplPort[0-]                                                                                                                   
ReqORiPort.ORiPort                                      reservedBy[]                          ReqRiLink.RiLink[0-]                                                                                                                     
ReqRdiPort.RdiPort                                      reservedBy[]                          ReqRdiPort.RdiPort[0-]                                                                                                                   
ReqRfPort.RfPort                                        reservedBy[]                          ReqAntennaSystem.AntennaNearUnit[0-],ReqAntennaSystem.RfBranch[0-],ReqCcLink.CcLink[0-]                                                  
ReqRiLink.RiLink                                        reservedBy[]                          ReqCpriLinkIqData.CpriLinkIqData[0-],RtnMacSecProfile.MacSecProfile[0-]                                                                  
ReqRiNetwork.RiNetwork                                  reservedBy[]                          ReqRiLink.RiLink[0-]                                                                                                                     
ReqRiPort.RiPort                                        reservedBy[]                          ReqOpmUnit.OpmUnit[0-1],ReqRiLink.RiLink[0-],RsyncFronthaulPtpBcOcPort.FronthaulPtpBcOcPort[0-],RsyncNodeGroupSyncMember.NodeGroupSyncMem
ber[0-],RtnL2EthernetPort.EthernetPort[0-],RtnL2VlanPort.VlanPort[0-]                                                                                                                                                                  
ReqSupportUnit.SupportUnit                              reservedBy[]                          ReqFieldReplaceableUnit.FieldReplaceableUnit[0-]                                                                                         
ReqSyncPort.SyncPort                                    reservedBy[]                          RsyncFrequencySyncIO.FrequencySyncIO[0-],RsyncTimeSyncIO.TimeSyncIO[0-]                                                                  
ReqThirdPartyRiPort.ThirdPartyRiPort                    reservedBy[]                          ReqRiLink.RiLink[0-]                                                                                                                     
ReqTnPort.TnPort                                        reservedBy[]                          RtnL2EthernetPort.EthernetPort[0-]                                                                                                       
ReqTransceiver.Transceiver                              reservedBy[]                          ReqAntennaSystem.MulticastAntennaBranch[0-],RmeSectorEquipmentFunction.SectorEquipmentFunction[0-]                                       
ResBatteryBackup.BatteryBackup                          reservedBy[]                          ReqBatteryUnit.BatteryUnit[0-]                                                                                                           
ResEquipmentSupportFunction.EquipmentSupportFunction    reservedBy[]                          ReqEcBus.EcBus[0-],ReqExternalNode.ExternalNode[0-]                                                                                      
RmePimCancellationFunction.PimCancellationFunction      reservedBy[]                          GNBDU.NRPimCancellationConfig[0-],Lrat.PimCancellationConfig[0-]                                                                         
