specificProblem,eventType,probableCause,perceivedSeverity,MO Class Name,Model
Critical Temperature Battery Disconnected,equipmentAlarm,x733EquipmentMalfunction,MAJOR,BatteryBackup,EquipmentSupportFunction
Critical Temperature Battery Disconnected,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Cross Connect Cable Fault,equipmentAlarm,x733EquipmentMalfunction,MAJOR,CcLink,Equipment
BSC Connection Failure,communicationsAlarm,m3100TransmissionError,MAJOR,AbisIp,BtsFunction
Battery End of Life,environmentalAlarm,m3100BatteryFailure,MINOR,BatteryBackup,EquipmentSupportFunction
Battery End of Life,environmentalAlarm,m3100BatteryFailure,MINOR,BatteryUnit,Equipment
OAM Connection to Unit Failure,communicationsAlarm,m3100Unavailable,MINOR,FieldReplaceableUnit,Equipment
ESS Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,EUtranCellFDD,ENodeBFunction
ESS Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MAJOR,NRCellDU,GNBDUFunction
ESS Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRPimCancellationConfig,GNBDUFunction
ESS Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NRSectorCarrier,GNBDUFunction
ESS Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,PimCancellationConfig,ENodeBFunction
ESS Inconsistent Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,SectorCarrier,ENodeBFunction
Enclosure Smoke Detector Failure,equipmentAlarm,x733EquipmentMalfunction,MAJOR,Cabinet,Equipment
Certificate Management the Certificate is to Expire,qualityOfServiceAlarm,x733ThresholdCrossed,WARNING,NodeCredential,SystemFunctions
Certificate Management the Certificate is to Expire,qualityOfServiceAlarm,x733ThresholdCrossed,WARNING,TrustedCertificate,SystemFunctions
SFP HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,SfpModule,Equipment
RET Failure,equipmentAlarm,x733EquipmentMalfunction,MINOR,RetSubUnit,Equipment
Configuration Requires Feature Activation Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,EUtranCellFDD,ENodeBFunction
Configuration Requires Feature Activation Service Degraded,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,NodeBLocalCell,NodeBFunction
BFU Incompatible With Power Configuration,processingErrorAlarm,x733ConfigurationOrCustomizationError,MINOR,FieldReplaceableUnit,Equipment
Indoor RAP HW Fault,equipmentAlarm,x733EquipmentMalfunction,MINOR,FieldReplaceableUnit,Equipment
Indoor RAP SW Download Failure,processingErrorAlarm,m3100SoftwareDownloadFailure,MINOR,FieldReplaceableUnit,Equipment
System Undervoltage,equipmentAlarm,m3100PowerProblem,MINOR,PowerDistribution,EquipmentSupportFunction
System Undervoltage,equipmentAlarm,m3100PowerProblem,MAJOR,PowerSupply,EquipmentSupportFunction
Resource Activation Timeout Service Degraded,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,EUtranCellFDD,ENodeBFunction
Resource Activation Timeout Service Degraded,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,EUtranCellTDD,ENodeBFunction
Resource Activation Timeout Service Degraded,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,ExtTrx,BtsFunction
Resource Activation Timeout Service Degraded,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,NbIotCell,ENodeBFunction
Resource Activation Timeout Service Degraded,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,NodeBLocalCell,NodeBFunction
Resource Activation Timeout Service Degraded,processingErrorAlarm,gsm1211TimeoutExpired,MINOR,Trx,BtsFunction
Alternate Oam Connection In Use,communicationsAlarm,x733CommunicationsProtocolError,WARNING,OamAccessPoint,SystemFunctions
Input Voltage Below Configured Threshold,environmentalAlarm,gsm1211ExternalPowerSupplyFailure,MINOR,EnergyMeter,Equipment
NAPT Tunnel Setup Failure,processingErrorAlarm,x733SoftwareError,MINOR,FieldReplaceableUnit,Equipment
