Status Metier;Famille;Nom Kpi;Ordre Affichage;Prioritaire;Definition courte;Definition longue;Numerateur;Denominateur;Commentaire;Unites;Techno;Equipement;Palier;Borne Min;Borne Max;Orientation;Application;Valeur Defaut;Nom BdD;Createur;Etat
OK;masquer;LTE_CELL_INTRA_FREQ_HO_FAIL;113;Secondaire;(Attempts - sucess) intra LTE intra frequency handovers;(Attempts - sucess) intra LTE intra frequency handovers;`pmCellHoPrepAttLteIntraF`-`pmCellHoExeSuccLteIntraF`;1;;;Ericsson 4G;Cellule,Enodeb;Tous;;;0;query;;LTE_CELL_INTRA_FREQ_HO_FAIL;Cardenas Alvaro;In Production
OK;Mobility;LTE_CELL_INTRA_FREQ_HO_PREP_SR;100;Secondaire;% of successful intra LTE intra frequency handover preparations;% of successful intra LTE intra frequency handover preparations;100*`pmCellHoPrepSuccLteIntraF`;`pmCellHoPrepAttLteIntraF`;;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;LTE_CELL_INTRA_FREQ_HO_PREP_SR;Cardenas Alvaro;In Production
OK;VoLte;LTE_INTRA_FREQ_HO_QCI1_EXE_SR;10;Secondaire;;HO success QCI1 (EUtranCellFDD) - HO succes Intefreq (EUtranCellRelation) / HO Att QCI1 (EUtranCellFDD) - HO Att Intefreq (EUtranCellRelation);100*((`pmHoExeOutSuccQci_1`)-(`pmHoExeOutSuccLteInterFQci1`));((`pmHoExeOutAttQci_1`)-(`pmHoExeOutAttLteInterFQci1`));;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;MAXIMIZE;osiris&query;;LTE_CELL_INTRA_FREQ_HO_QCI1_EXE_SR;Cardenas Alvaro;In Production
OK;Mobility;LTE_CELL_INTRA_FREQ_HO_SR;114;Secondaire;Intra LTE intra frequency Cell Mobility Success Rate;Intra LTE intra frequency Cell Mobility Success Rate;[LTE_CELL_INTRA_FREQ_HO_PREP_SR]*[LTE_CELL_INTRA_FREQ_HO_EXE_SR];100;;%;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;LTE_CELL_INTRA_FREQ_HO_SR;Cardenas Alvaro;In Production
OK;masquer;LTE_CSSR_WO_VoLTE_NOBR;630;Secondaire;Percentage of established sessions over the requested ones for all types of connections excluding CATM Sessions. A session is established when the UE has established its E-Radio Access Bearer(s).;Percentage of established sessions over the requested ones for all types of connections excluding CATM Sessions. A session is established when the UE has established its E-Radio Access Bearer(s).;[RRC_CONN_ESTAB_WO_REP_NOBR_SR]*[S1_SIG_ESTAB_NOBR_SR]*[INIT_ERAB_SETUP_NOBR_SR];10000;;%;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;LTE_CSSR_WO_VoLTE_NOBR;Cardenas Alvaro;Deleted
OK;Mobility;Lte_Global_Freq_Ho_Exe_Att_Incoming;92;Secondaire;Number of LTE intra+inter frequency Incoming handover execution attempts. Based in In-house Osiris compteurs.;Number of LTE intra+inter frequency Incoming handover execution attempts. Based in In-house Osiris compteurs.;`pmHoExeAttLteIntraF_inc`+`pmHoExeAttLteInterF_inc`;1;;;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;Lte_Global_Freq_Ho_Exe_Att_Incoming;Cardenas Alvaro;In Production
OK;Mobility;Lte_Global_Freq_Ho_Exe_SR_Incoming;93;Secondaire;SR of intra LTE intra+inter frequency Incoming handover executions.;SR of intra LTE intra+inter frequency Incoming handover executions.;100*(`pmHoExeSuccLteIntraF_inc`+`pmHoExeSuccLteInterF_inc`);(`pmHoPrepAttLteIntraF_inc`+`pmHoPrepAttLteInterF_inc`);;%;Ericsson 4G;Cellule,Enodeb;Tous;null;null;0;osiris&query;;Lte_Global_Freq_Ho_Exe_SR_Incoming;Cardenas Alvaro;In Production
OK;Mobility;Lte_Global_Freq_Ho_Exe_Succ_Incoming;92;Secondaire;Number of successful LTE intra+inter frequency Incoming handover executions. Based in In-house Osiris compteurs.;Number of successful LTE intra+inter frequency Incoming handover executions. Based in In-house Osiris compteurs.;`pmHoExeSuccLteIntraF_inc`+`pmHoExeSuccLteInterF_inc`;1;;;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;Lte_Global_Freq_Ho_Exe_Succ_Incoming;Cardenas Alvaro;In Production
OK;Mobility;Lte_Global_Freq_Ho_Fail;31;Secondaire;(Attempts - success) intra LTE intra et inter frequency handovers.;(Attempts - success) intra LTE intra et inter frequency handovers.;(`pmHoPrepAttLteIntraF`+`pmHoPrepAttLteInterF`)-(`pmHoExeSuccLteIntraF`+`pmHoExeSuccLteInterF`);1;;;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;Lte_Global_Freq_Ho_Fail;Cardenas Alvaro;In Production
OK;Mobility;Lte_Global_Freq_Ho_Fail_Incoming;94;Secondaire;Prep. attemps-Exec. success LTE intra+inter frequency Incoming handovers. Based in In-house Osiris compteurs.;Prep. attemps-Exec. success LTE intra+inter frequency Incoming handovers. Based in In-house Osiris compteurs.;(`pmHoPrepAttLteIntraF_inc`+`pmHoPrepAttLteInterF_inc`)-(`pmHoExeSuccLteIntraF_inc`+`pmHoExeSuccLteInterF_inc`);1;;;Ericsson 4G;Cellule,Enodeb;Tous;;;0;osiris&query;;Lte_Global_Freq_Ho_Fail_Incoming;Cardenas Alvaro;In Production
