Role,Model,MO Class Name,Access Rule
Support_Application_Administrator,Equipment,ThirdPartyRiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,OpmUnit and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,UeCC and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,IuaProfile and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,DlComp and subtree,RWX
Bts_Application_Administrator,Equipment,HereIAmIndication and subtree,RWX
NodeB_Application_Administrator,Equipment,Equipment and subtree,R
GNodeB_Application_User,SystemFunctions,Lm and subtree,R
Support_Application_User,Equipment,HwGroup and subtree,R
ENodeB_Application_Administrator,GNBCUCPFunction,ResourcePartitions and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,Periodic and subtree,RWX
NodeB_Application_Administrator,Equipment,BbProcessingResource and subtree,RWX
GNodeB_Application_Administrator,Equipment,IntegrityProtection and subtree,RWX
ENodeB_Application_Administrator,Equipment,SyncPort and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,EUtranCellTDD and subtree,RWX
Support_Application_User,Equipment,Equipment,R
GNodeB_Application_SecurityAdministrator,GNBDUFunction,GNBDUFunction and subtree,R
GNodeB_Application_Administrator,Equipment,ORadio and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,TimerProfile and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,LogM and subtree,RWX
Support_Application_User,NodeSupport,NodeSupport,R
ENodeB_Application_Administrator,ENodeBFunction,ENodeBFunction and subtree,R
ENodeB_Application_Administrator,ENodeBFunction,LoadBalancingFunction and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,UeMC and subtree,RWX
Transport_Application_Administrator,Transport,ExtendedTransport and subtree,RWX
GNodeB_Application_Administrator,GNBCUCPFunction,EndpointResource and subtree,RWX
ENodeB_Application_Administrator,SystemFunctions,Schema,RX
GNodeB_Application_Administrator,GNBCUCPFunction,UeGroupSelection and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,ParameterChangeRequests and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,NbIdleModeLoadDistr and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,NodePerformance and subtree,RWX
ENodeB_Application_Administrator,Equipment,DiPort and subtree,RWX
NodeB_Application_Administrator,Equipment,EcBus and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,SectorCarrier and subtree,RWX
ENodeB_Application_Administrator,ENodeBFunction,Rcs and subtree,RWX
ENodeB_Application_Administrator,Equipment,SfpModule and subtree,RWX
Bts_Application_Administrator,Equipment,BootSwUpgrade and subtree,RWX
Bts_Application_User,SystemFunctions,Schema,RX
